403:        20 steps          20601 total steps
404:        28 steps          20629 total steps
405:        28 steps          20657 total steps
406:        41 steps          20698 total steps
407:        41 steps          20739 total steps
408:        28 steps          20767 total steps
409:        41 steps          20808 total steps
410:        28 steps          20836 total steps
411:        134 steps          20970 total steps
412:        90 steps          21060 total steps
413:        90 steps          21150 total steps
414:        90 steps          21240 total steps
415:        134 steps          21374 total steps
416:        15 steps          21389 total steps
417:        134 steps          21523 total steps
418:        41 steps          21564 total steps
419:        41 steps          21605 total steps
420:        41 steps          21646 total steps
421:        41 steps          21687 total steps
422:        41 steps          21728 total steps
423:        33 steps          21761 total steps
424:        15 steps          21776 total steps
425:        59 steps          21835 total steps
426:        15 steps          21850 total steps
427:        54 steps          21904 total steps
428:        103 steps          22007 total steps
429:        103 steps          22110 total steps
430:        103 steps          22213 total steps
431:        41 steps          22254 total steps
432:        116 steps          22370 total steps
433:        28 steps          22398 total steps
434:        28 steps          22426 total steps
435:        28 steps          22454 total steps
436:        116 steps          22570 total steps
437:        116 steps          22686 total steps
438:        54 steps          22740 total steps
439:        54 steps          22794 total steps
440:        116 steps          22910 total steps
441:        28 steps          22938 total steps
442:        116 steps          23054 total steps
443:        54 steps          23108 total steps
444:        72 steps          23180 total steps
445:        72 steps          23252 total steps
446:        72 steps          23324 total steps
447:        98 steps          23422 total steps
448:        23 steps          23445 total steps
449:        116 steps          23561 total steps
450:        54 steps          23615 total steps
451:        54 steps          23669 total steps
452:        15 steps          23684 total steps
453:        15 steps          23699 total steps
454:        15 steps          23714 total steps
455:        41 steps          23755 total steps
456:        36 steps          23791 total steps
457:        129 steps          23920 total steps
458:        36 steps          23956 total steps
459:        129 steps          24085 total steps
460:        36 steps          24121 total steps
461:        36 steps          24157 total steps
462:        129 steps          24286 total steps
463:        129 steps          24415 total steps
464:        23 steps          24438 total steps
465:        36 steps          24474 total steps
466:        85 steps          24559 total steps
467:        85 steps          24644 total steps
468:        23 steps          24667 total steps
469:        23 steps          24690 total steps
470:        129 steps          24819 total steps
471:        129 steps          24948 total steps
472:        36 steps          24984 total steps
473:        36 steps          25020 total steps
474:        36 steps          25056 total steps
475:        28 steps          25084 total steps
476:        36 steps          25120 total steps
477:        36 steps          25156 total steps
478:        54 steps          25210 total steps
479:        54 steps          25264 total steps
480:        23 steps          25287 total steps
481:        49 steps          25336 total steps
482:        23 steps          25359 total steps
483:        23 steps          25382 total steps
484:        98 steps          25480 total steps
485:        98 steps          25578 total steps
486:        98 steps          25676 total steps
487:        142 steps          25818 total steps
488:        23 steps          25841 total steps
489:        49 steps          25890 total steps
490:        23 steps          25913 total steps
491:        142 steps          26055 total steps
492:        49 steps          26104 total steps
493:        49 steps          26153 total steps
494:        49 steps          26202 total steps
495:        98 steps          26300 total steps
496:        111 steps          26411 total steps
497:        23 steps          26434 total steps
498:        49 steps          26483 total steps
499:        49 steps          26532 total steps
500:        111 steps          26643 total steps
501:        111 steps          26754 total steps
502:        67 steps          26821 total steps
503:        67 steps          26888 total steps
504:        111 steps          26999 total steps
505:        62 steps          27061 total steps
506:        111 steps          27172 total steps
507:        36 steps          27208 total steps
508:        49 steps          27257 total steps
509:        49 steps          27306 total steps
510:        49 steps          27355 total steps
511:        62 steps          27417 total steps
512:        10 steps          27427 total steps
513:        36 steps          27463 total steps
514:        124 steps          27587 total steps
515:        124 steps          27711 total steps
516:        124 steps          27835 total steps
517:        124 steps          27959 total steps
518:        124 steps          28083 total steps
519:        62 steps          28145 total steps
520:        31 steps          28176 total steps
521:        124 steps          28300 total steps
522:        31 steps          28331 total steps
523:        124 steps          28455 total steps
524:        31 steps          28486 total steps
525:        31 steps          28517 total steps
526:        80 steps          28597 total steps
527:        80 steps          28677 total steps
528:        31 steps          28708 total steps
529:        31 steps          28739 total steps
530:        124 steps          28863 total steps
531:        124 steps          28987 total steps
532:        31 steps          29018 total steps
533:        31 steps          29049 total steps
534:        23 steps          29072 total steps
535:        23 steps          29095 total steps
536:        31 steps          29126 total steps
537:        23 steps          29149 total steps
538:        31 steps          29180 total steps
539:        49 steps          29229 total steps
540:        44 steps          29273 total steps
541:        44 steps          29317 total steps
542:        44 steps          29361 total steps
543:        137 steps          29498 total steps
544:        18 steps          29516 total steps
545:        44 steps          29560 total steps
546:        31 steps          29591 total steps
547:        31 steps          29622 total steps
548:        93 steps          29715 total steps
549:        93 steps          29808 total steps
550:        93 steps          29901 total steps
551:        44 steps          29945 total steps
552:        18 steps          29963 total steps
553:        137 steps          30100 total steps
554:        18 steps          30118 total steps
555:        31 steps          30149 total steps
556:        44 steps          30193 total steps
557:        44 steps          30237 total steps
558:        44 steps          30281 total steps
559:        88 steps          30369 total steps
560:        18 steps          30387 total steps
561:        44 steps          30431 total steps
562:        44 steps          30475 total steps
563:        44 steps          30519 total steps
564:        18 steps          30537 total steps
565:        18 steps          30555 total steps
566:        62 steps          30617 total steps
567:        62 steps          30679 total steps
568:        106 steps          30785 total steps
569:        57 steps          30842 total steps
570:        106 steps          30948 total steps
571:        31 steps          30979 total steps
572:        106 steps          31085 total steps
573:        106 steps          31191 total steps
574:        44 steps          31235 total steps
575:        44 steps          31279 total steps
576:        26 steps          31305 total steps
577:        31 steps          31336 total steps
578:        31 steps          31367 total steps
579:        31 steps          31398 total steps
580:        119 steps          31517 total steps
581:        119 steps          31636 total steps
582:        119 steps          31755 total steps
583:        31 steps          31786 total steps
584:        119 steps          31905 total steps
